author_id,total_tweets,retweet_count,original_count,retweet_dependency,dependency_label
53702870,55,55,0,100.0,100.0%
855561139,55,55,0,100.0,100.0%
2236037242,55,55,0,100.0,100.0%
2476366924,55,55,0,100.0,100.0%
4448879597,55,55,0,100.0,100.0%
4522319139,55,55,0,100.0,100.0%
734465085561835522,55,55,0,100.0,100.0%
1060999295950901253,55,55,0,100.0,100.0%
1152195811792625664,55,55,0,100.0,100.0%
112286587,54,54,0,100.0,100.0%
330559209,54,54,0,100.0,100.0%
1660082593,54,54,0,100.0,100.0%
2559239198,54,54,0,100.0,100.0%
3434305071,54,54,0,100.0,100.0%
1141637794386927616,54,54,0,100.0,100.0%
1275091557658636288,54,54,0,100.0,100.0%
713846614,53,53,0,100.0,100.0%
2481700940,53,53,0,100.0,100.0%
4142994136,53,53,0,100.0,100.0%
992880061404667905,53,53,0,100.0,100.0%
271284486,52,52,0,100.0,100.0%
1008362270886453249,52,52,0,100.0,100.0%
406962784,51,51,0,100.0,100.0%
2808105549,51,51,0,100.0,100.0%
4031885973,51,51,0,100.0,100.0%
825726222235742208,51,51,0,100.0,100.0%
948183242137571329,51,51,0,100.0,100.0%
1008696543585718272,51,51,0,100.0,100.0%
1037714769195753474,51,51,0,100.0,100.0%
28322970,50,50,0,100.0,100.0%
214446639,50,50,0,100.0,100.0%
450042226,50,50,0,100.0,100.0%
602032590,50,50,0,100.0,100.0%
2572341539,50,50,0,100.0,100.0%
254735220,49,49,0,100.0,100.0%
307800506,49,49,0,100.0,100.0%
491185660,49,49,0,100.0,100.0%
892939100,49,49,0,100.0,100.0%
2736741590,49,49,0,100.0,100.0%
2889173151,49,49,0,100.0,100.0%
3986185503,49,49,0,100.0,100.0%
4204815485,49,49,0,100.0,100.0%
814803946837512196,49,49,0,100.0,100.0%
1319968348696924160,49,49,0,100.0,100.0%
1425023935758979083,49,49,0,100.0,100.0%
363864053,48,48,0,100.0,100.0%
496735566,48,48,0,100.0,100.0%
1156975454,48,48,0,100.0,100.0%
2296574312,48,48,0,100.0,100.0%
4063221322,48,48,0,100.0,100.0%
948661743147941888,48,48,0,100.0,100.0%
975378386645340160,48,48,0,100.0,100.0%
1251083583286018048,48,48,0,100.0,100.0%
142832640,47,47,0,100.0,100.0%
217411268,47,47,0,100.0,100.0%
232175272,47,47,0,100.0,100.0%
263167228,47,47,0,100.0,100.0%
318961669,47,47,0,100.0,100.0%
1173088152,47,47,0,100.0,100.0%
1395691578,47,47,0,100.0,100.0%
3293867468,47,47,0,100.0,100.0%
835501270857310208,47,47,0,100.0,100.0%
1148979354254397442,47,47,0,100.0,100.0%
1170380444988297216,47,47,0,100.0,100.0%
292993883,46,46,0,100.0,100.0%
2505483180,46,46,0,100.0,100.0%
776094148671705089,46,46,0,100.0,100.0%
74483257,45,45,0,100.0,100.0%
137788029,45,45,0,100.0,100.0%
229763114,45,45,0,100.0,100.0%
329192955,45,45,0,100.0,100.0%
334888674,45,45,0,100.0,100.0%
393997455,45,45,0,100.0,100.0%
3338489962,45,45,0,100.0,100.0%
727984322993655808,45,45,0,100.0,100.0%
